PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
4117,1.335,0.22,0.193,-0.06,0.397,0.48,0.618,0.309,0,0,0
4118,1.335,0.383,0.626,0.302,1.479,0.345,0.491,0.21,0,0,0
4119,1.335,0.539,0.931,0.201,1.49,0.533,0.812,0.041,0,0,0
4120,1.335,0.483,0.672,0.578,0.403,0.727,1.176,1.248,0,0,0
4121,1.335,0.596,0.794,0.332,0.394,1.188,1.884,1.062,0,0,0
4122,1.335,1.386,2.301,1.248,1.773,0.844,1.691,1.02,0,0,0
4123,1.335,0.562,0.749,0.746,1.267,0.569,0.779,0.795,0,0,0
4124,1.335,0.523,0.834,0.88,1.731,0.522,1.065,0.725,0,0,0
4125,1.335,0.342,0.406,0.131,0.953,0.347,0.405,0.158,0,0,0
4126,1.335,0.521,0.682,0.417,1.185,0.526,0.69,0.349,0,0,0
4127,1.335,0.26,0.264,0.162,0.65,0.381,0.46,0.157,0,0,0
4128,1.335,0.401,0.603,0.456,1.621,0.376,0.396,0.484,0,0,0
4129,1.335,0.767,1.226,0.855,0.695,1.183,1.946,1.34,0,0,0
4130,1.335,0.634,0.849,0.773,0.886,0.691,0.929,0.782,0,0,0
4131,1.335,1.244,2.072,1.414,1.599,0.999,1.614,1.273,0,0,0
4132,1.335,0.212,0.179,-0.006,0.152,0.375,0.79,-0.055,0,0,0
4133,1.335,0.524,0.696,0.374,0.823,0.548,0.842,0.724,0,0,0
4134,1.335,0.682,0.968,0.575,0.577,1.134,1.774,1.106,0,0,0
4135,1.335,0.214,0.187,0.183,2.647,0.333,0.379,-0.06,0,0,0
4136,1.335,0.52,0.681,0.384,0.726,0.671,0.995,0.826,0,0,0
4137,1.335,0.374,0.6,0.391,1.766,0.386,0.527,0.149,0,0,0
4138,1.335,1.005,1.517,1.036,1.258,1.062,1.611,1.134,0,0,0
4139,1.335,0.416,0.514,0.096,1.021,0.388,0.514,0.188,0,0,0
4140,1.335,0.212,0.185,0.096,1.371,0.212,0.199,0.059,0,0,0
4141,1.335,0.787,1.33,0.65,1.372,0.791,1.301,0.61,0,0,0
4142,1.335,0.256,0.263,0.149,1.043,0.262,0.262,0.325,0,0,0
4143,1.335,0.597,0.797,0.363,0.332,1.191,1.929,1.18,0,0,0
4144,1.335,0.277,0.355,0.02,0.188,0.644,0.96,0.649,0,0,0
4145,1.335,1.35,2.201,0.402,5.691,0.212,0.177,-0.06,0,0,0
4146,1.335,0.831,1.393,0.895,0.937,1.153,1.84,1.204,0,0,0
4147,1.335,0.213,0.181,0.088,2.081,0.213,0.178,-0.012,0,0,0
4148,1.335,0.526,0.832,1.005,1.316,0.521,0.837,1.02,0,0,0
4149,1.335,0.924,1.418,0.522,1.189,0.925,1.762,0.657,0,0,0
4150,1.335,0.423,0.627,0.358,1.377,0.421,0.575,0.36,0,0,0
4151,1.335,0.212,0.177,0.192,0.182,0.511,0.662,-0.059,0,0,0
4152,1.335,0.444,0.566,0.402,1.242,0.449,0.573,0.446,0,0,0
